kikuyu	english
Hamwe na ndegwa, na ndũrũme, na tũtũrũme tũu, mũhaaragĩrieimaruta macio ma mũtu, na maruta ma kũnyuuokũringana na mũigana ũrĩa ũtuĩtwo.	He shall stand before Eleazar the priest, who shall inquire for him by the judgment of the Urim before Yahweh. At his word they shall go out, and at his word they shall come in, both he and all the children of Israel with him, even all the congregation.”
Wee Jehova, hingũra igũrũ ũikũrũke; hutia irĩma, nĩgeetha irute ndogo.	I will meditate on the glorious majesty of your honor, on your wondrous works.
Tĩĩri wa gĩtuamba nĩũrĩ mũrĩo harĩ we; andũ othe nĩwe marũmagĩrĩra, na kĩrĩndĩ gĩtangĩtarĩka gĩgathiiaga mbere yake.	The clods of the valley will be sweet to him. All men will draw after him, as there were innumerable before him.
“Ha ũhoro wa mĩhĩrĩga ĩyo ĩngĩ ĩtigarĩte: Benjamini akaaheo gĩcigo kĩmwe; nakĩo gĩgaatam- bũrũka kuuma mwena wa irathĩro nginya mwena wa ithũĩro. DANIELI Gũthomithio kwa Danieli	In whatever tribe the stranger lives, there you shall give him his inheritance,” says the Lord Yahweh.
Ũrĩa ũmbaga irĩma nowe ũmbaga rũhuho, na akaguũrĩria mũndũ meciiria make, o we ũtũmaga rũciinĩ kũgĩe nduma, na agathiĩra thĩ kũrĩa gũtũũgĩru, rĩĩtwa rĩake nĩ Jehova Ngai Mwene-Hinya-Wothe.	Therefore a prudent person keeps silent in such a time, for it is an evil time.
Wee Ngai-rĩ, nyũmbĩra ngoro theru thĩinĩ wakwa, na ũnjerũhĩrie roho wa kwĩhokeka thĩinĩ wakwa.	Create in me a clean heart, O God. Renew a right spirit within me.
“Ningĩ-rĩ, mũndũ mũthingu angĩgarũrũka atigane na ũthingu wake eke maũndũ mooru, na niĩ ndĩmwĩkĩrĩre mũhĩnga mbere yake-rĩ, nĩagaakua. Kũngĩkorwo ndwamũkaanirie-rĩ, nĩagaakua nĩ ũndũ wa mehia make. Maũndũ marĩa aneeka ma ũthingu matikaaririkanwo, nawe nĩwe ngooria thakame yake. No rĩrĩ, wee ũngĩkaania mũndũ ũcio mũthingu atige kwĩhia, nake aage kwĩhia- rĩ, ti-itherũ nĩagatũũra muoyo nĩ ũndũ nĩathikĩrĩirie ũguo wamũkaanirie, nawe-rĩ, nĩũgaakorwo ũhonoketie muoyo waku.”	“Again, when a righteous man turns from his righteousness and commits iniquity, and I lay a stumbling block before him, he will die. Because you have not given him warning, he will die in his sin, and his righteous deeds which he has done will not be remembered; but I will require his blood at your hand.
Jehova Mwene-Hinya-Wothe ekuuga atĩrĩ, “Muugaga atĩrĩ, ‘Kaĩ ũhoro ũcio nĩ mũritũ-ĩ!’ Na mũgatembania iromo.” Jehova ekũũria atĩrĩ, “Rĩrĩa mũkũrehe nyamũ iria ndiihangie, na iria iigũthua, kana iria ndwaru mũgaaciruta irĩ magongona-rĩ, no ndĩgĩciĩtĩkĩre kuuma harĩ inyuĩ?”	You say also, ‘Behold,§ what a weariness it is!’ And you have sniffed at it”, says Yahweh of Armies; “and you have brought that which was taken by violence, the lame, and the sick; thus you bring the offering. Should I accept this at your hand?” says Yahweh.
magĩcookanĩrĩra hamwe nĩguo mahũũrane na Joshua na Isiraeli. No rĩrĩ, rĩrĩa andũ a Gibeoni* maaiguire ũrĩa Joshua ekĩte itũũra rĩa Jeriko o na rĩa Ai,	they gathered themselves together to fight with Joshua and with Israel, with one accord.
njigua na ũnjĩtĩke. Meciiria makwa nĩmathĩĩnĩtie na ndĩ mũgiĩku	Attend to me, and answer me. I am restless in my complaint, and moan
na nĩ guo hitho ĩrĩa ĩtũire ĩrĩ hithe kuuma o tene, njiarwa na njiarwa, no rĩu nĩũguũrĩirio arĩa aamũre.	the mystery which has been hidden for ages and generations. But now it has been revealed to his saints,
“ ‘Ngombo cianyu cia arũme na cia andũ-a-nja iriumaga ndũrĩrĩ-inĩ iria imũrigiicĩirie; kuuma kũrĩ ndũrĩrĩ icio no mũgũrage ngombo.	“ ‘As for your male and your female slaves, whom you may have from the nations that are around you, from them you may buy male and female slaves.
“Nake akĩmũcookeria atĩrĩ, ‘Ndĩ na thiirĩ wa marebe magana meerĩ ma maguta ma mĩtamaiyũ.’ “Mũrori ũcio akĩmwĩra atĩrĩ, ‘Oya marũa maku ma thiirĩ ũikare thĩ narua wandĩke atĩ ũrĩ na thiirĩ wa marebe igana rĩmwe.’	The Lord said, “If you had faith like a grain of mustard seed, you would tell this sycamore tree, ‘Be uprooted and be planted in the sea,’ and it would obey you.
Ũguo nĩguo ndũũrĩte: Ndaarugagwo nĩ ũrugarĩ wa mũthenya na ngarĩĩo nĩ heho ya ũtukũ, naguo toro ũkĩnjũrĩra.	This was my situation: in the day the drought consumed me, and the frost by night; and my sleep fled from my eyes.
kũu “ ‘kĩgunyũ kĩrĩa kĩmarĩĩaga gĩtikuaga, naguo mwaki ũrĩa ũmacinaga ndũhoraga.’	‘where their worm doesn’t die, and the fire is not quenched.’ *
Nũũ ũtangĩgwĩtigĩra, na agoocithie rĩĩtwa rĩaku, wee Mwathani? Nĩgũkorwo Wee wiki nĩwe Mũtheru. Ndũrĩrĩ ciothe nĩigooka ihooe irĩ mbere yaku, nĩgũkorwo ciĩko ciaku cia ũthingu nĩiguũrĩtio.”	The third poured out his bowl into the rivers and springs of water, and they became blood.
Andũ eerĩ maahota gũtwarana atĩa matarĩ na karĩĩko?	Do two walk together, unless they have agreed?
Nĩndaringĩrĩirie Tito oke kũrĩ inyuĩ, na ngĩtũma mũrũ wa Ithe witũ moke nake. Tito ndaigana kũmũhatĩrĩria, kana nĩamũhatĩrĩirie? Githĩ tũtiarutire wĩra thĩinĩ wa roho o ro ũmwe, na tũkĩrũmĩrĩra njĩra o ro ĩmwe?	For those who are such don’t serve our Lord Jesus Christ, but their own belly; and by their smooth and flattering speech they deceive the hearts of the innocent.
Ngai akiuga atĩrĩ, “Nĩ niĩ Ngai, Ngai wa thoguo. Ndũgetigĩre gũikũrũka ũthiĩ Misiri, tondũ nĩngagũtua rũrĩrĩ rũnene mũno kũu.	He said, “I am God, the God of your father. Don’t be afraid to go down into Egypt, for there I will make of you a great nation.
Wee Jehova, ũrĩ mũthingu, na mawatho maku nĩmagĩrĩire.	You are righteous, Yahweh. Your judgments are upright.
“Kũgĩa na mbaũ nyingĩ mũno cia mĩtarakwa-rĩ, no gũtũme ũtuĩke mũthamaki? Githĩ thoguo ndaarĩ o na gĩa kũrĩa na gĩa kũnyua? Ekaga maũndũ marĩa maagĩrĩire na ma kĩhooto, nĩ ũndũ ũcio maũndũ make mothe makĩgaacĩra.	“Should you reign because you strive to excel in cedar? Didn’t your father eat and drink, and do justice and righteousness? Then it was well with him.
Ihinda rĩrĩa mũthamaki aatuĩte atĩ andũ acio magaatwarwo nyũmba yake thĩinĩ rĩathira-rĩ, mũrori wa anene arĩa angĩ agĩkĩmatwara harĩ Nebukadinezaru.	“The east side, between Hauran, Damascus, Gilead, and the land of Israel, shall be the Jordan; from the north border to the east sea you shall measure. This is the east side.
Nĩmahinganĩtie ngoro ciao nyũmũ, † 16:5 Gĩkombe gĩkĩ nĩ kĩrĩa mũndũ aaheagwo hĩndĩ ya gũkũngũĩra maũndũ.	They close up their callous hearts. With their mouth they speak proudly.
Gatagatĩ-inĩ ka andũ acio nĩ haarĩ na mũtumia ũmwe watũire oiraga thakame mĩaka ikũmi na ĩĩrĩ, na gũtirĩ mũndũ ũngĩamũhonirie.	Simon answered, “He, I suppose, to whom he forgave the most.” He said to him, “You have judged correctly.”
Joshua akĩmatooria kuuma Kadeshi-Barinea nginya Gaza na kuuma mwena ũcio wothe wa Gosheni† nginya Gibeoni.	Joshua struck them from Kadesh Barnea even to Gaza, and all the country of Goshen, even to Gibeon.
Ũrĩa ũrĩ na matũ ma kũigua nĩaigue.	He who has ears to hear, let him hear.
Jesũ Gũtũma Arutwo arĩa Ikũmi na Eerĩ * 9:17 Ndibei yekagĩrwo mondo ciatumagwo na njũũa cia mbũri.	Take no bag for your journey, neither two coats, nor sandals, nor staff: for the laborer is worthy of his food.
Gũtirĩ hĩndĩ ĩngĩ mũndũ mũkĩĩgu agaacooka kũgĩa igweta, kana kĩmaramari gĩcooke gũtĩĩo mũno.	The fool will no longer be called noble, nor the scoundrel be highly respected.
Ũũ nĩguo Mwathani Jehova ekuuga: Nĩgũkorwo kĩrĩma-inĩ gĩakwa gĩtheru, kĩrĩma kĩrĩa kĩraihu gĩa Isiraeli, kũu bũrũri ũcio nĩkuo andũ a nyũmba yothe ya Isiraeli† makaandungatagĩra, na kũu nĩkuo ngaametĩkĩrĩra. Kũu nĩkuo ngaabatario nĩ maruta manyu na iheo cianyu iria njega, o hamwe na magongona manyu mothe marĩa maamũre.	For in my holy mountain, in the mountain of the height of Israel,” says the Lord Yahweh, “there all the house of Israel, all of them, shall serve me in the land. There I will accept them, and there I will require your offerings and the first fruits of your offerings, with all your holy things.
Ehumbĩte nguo ĩrindĩtwo thakame-inĩ, narĩo rĩĩtwa rĩake etagwo Kiugo-kĩa-Ngai.	He is clothed in a garment sprinkled with blood. His name is called “The Word of God.”
magĩtherera igũrũ wa irĩma, magĩikũrũka cianda-inĩ, magĩtherera na kũrĩa watuĩte mathiĩ.	The mountains rose, the valleys sank down, to the place which you had assigned to them.
Hĩndĩ ĩyo nĩngaherithia arĩa othe maamũhinyagĩrĩria; nĩngahonokia arĩa ithua, na njookererie arĩa mahurunjĩtwo. Nĩngatũma magĩe igweta na ndĩmagoocithie mabũrũri-inĩ mothe kũrĩa manaconorithio.	Behold,† at that time I will deal with all those who afflict you; and I will save those who are lame and gather those who were driven away. I will give them praise and honor, whose shame has been in all the earth.
nake Eliasafu mũrũ wa Deueli nĩwe warĩ mũtongoria wa gĩkundi kĩa mũhĩrĩga wa Gadi. Nao Akohathu makiumagara makuuĩte indo iria nyamũre. Hema-ĩrĩa-Nyamũre yarĩ ĩkorwo yaambĩtwo matanakinya.	but a whole month, until it comes out at your nostrils, and it is loathsome to you; because you have rejected Yahweh who is among you, and have wept before him, saying, “Why did we come out of Egypt?” ’ ”
O na gũtuĩka ndirĩ bata na nĩnyararĩtwo-rĩ, ndiriganagĩrwo nĩ mawatho maku.	I am small and despised. I don’t forget your precepts.
nĩgũkorwo nĩmaremeire Roho wa Ngai, nake Musa akĩaria ciugo itaagĩrĩire.	because they were rebellious against his spirit, he spoke rashly with his lips.
Kaĩ ngʼombe nĩicaaĩte-ĩ. Ndũũru cia ngʼombe iroorũũra o ũguo, tondũ itirĩ na gwa kũrĩithio; o nacio ndũũru cia ngʼondu nĩirathĩĩnĩka.	How the animals groan! The herds of livestock are perplexed, because they have no pasture. Yes, the flocks of sheep are made desolate.
Mũkaamũtua ta mũruti wa wĩra wa mũcaara kana ta mũndũ ũrarĩrĩire kwanyu; mũndũ ũcio akaamũrutĩra wĩra nginya Mwaka wa Jubilii.	As a hired servant, and as a temporary resident, he shall be with you; he shall serve with you until the Year of Jubilee.
Bũrũri wanyu ũkirĩte ihooru, matũũra manyu manene magacinwo na mwaki; mĩgũnda yanyu ĩramathwo ĩgatigwo ũtheri nĩ andũ a kũngĩ o mũkĩonaga, ĩkoonũhwo ta ĩngʼaũranĩtio nĩ ageni.*	Their land is full of silver and gold, neither is there any end of their treasures. Their land also is full of horses, neither is there any end of their chariots.
Mũira wa maheeni ndakaaga kũherithio, na ũrĩa ũitũrũraga maheeni nĩakoorwo nĩ muoyo.	A false witness shall not be unpunished. He who utters lies shall perish.
Matũũra ma mbere ma ũthamaki wake maarĩ Babeli, na Ereku, na Akadi na Kaline, kũu Shinaru.‡	The beginning of his kingdom was Babel, Erech, Accad, and Calneh, in the land of Shinar.
“ ‘Ningĩ andũ a Suriata nĩmarutithanirie wĩra wa wonjoria nawe tondũ wa indo ciaku kũingĩha; nĩmakũũranirie indo ciaku cia wonjoria na tũhiga twa thumarati, na mataama ma rangi wa ndathi, na nguo iria ngʼemie, na gatani ĩrĩa njega, na maricani, o na tũhiga twa goro tũrĩa tũtune.	“ ‘ “Syria was your merchant by reason of the multitude of your handiworks. They traded for your wares with emeralds, purple, embroidered work, fine linen, coral, and rubies.
“Matũũra matandatũ ma macio mũkaahe Alawii magaatuĩka ma kũũrĩrwo, kũrĩa mũndũ ũraganĩte angĩũrĩra. Hamwe na macio matandatũ, mahei matũũra mangĩ mĩrongo ĩna na meerĩ.	“The cities which you shall give to the Levites, they shall be the six cities of refuge, which you shall give for the man slayer to flee to. Besides them you shall give forty-two cities.
“Mũhehenjaga andũ akwa, na mũkamemenda mothiũ ma athĩĩni nĩkĩ?” nĩguo Mwathani Jehova Mwene-Hinya-Wothe ekũũria.	What do you mean that you crush my people, and grind the face of the poor?” says the Lord, Yahweh of Armies.
Thiĩ rũũru-inĩ rwa mbũri ũndehere tũũri twĩrĩ twa mbũri tũrĩa twega biũ, nĩguo thondekere thoguo irio njega, o ta ũrĩa endaga ithondekwo.	Abimelech called Isaac, and said, “Behold, surely she is your wife. Why did you say, ‘She is my sister’?” Isaac said to him, “Because I said, ‘Lest I die because of her.’ ”
Kuuma ũkengi ũrĩa warĩ harĩ we, mbura ya mbembe na heni igũtũrĩkanĩria matu-inĩ make.	Who can discern his errors?  or, seed
Nĩndahũũrirwo na thanju maita matatũ, na riita rĩmwe ngĩhũũrwo na mahiga nyuguto,* na maita matatũ ndanathũkĩrwo nĩ marikabu ndĩ thĩinĩ, na ngĩraara o na ngĩtinda iria-inĩ ũtukũ ũmwe na mũthenya mũgima.	§  The word for “brothers” here and where context allows may also be correctly translated “brothers and sisters” or “siblings.”  TR places
“Nĩwoinangire icooki rĩaku rĩa ngingo o tene, na ũgĩtuuanga mĩhĩndo yaku; woigire atĩrĩ, ‘Ndigũcooka gũgũtungata!’ Tondũ-rĩ, tũrĩma-inĩ tũrĩa tuothe tũraihu na igũrũ, na rungu rwa mũtĩ o wothe mũruru nĩkuo wakomaga ũkĩhũũra ũmaraya.	“For long ago I broke off your yoke, and burst your bonds. You said, ‘I will not serve;’ for on every high hill and under every green tree you bowed yourself, playing the prostitute.
Maũndũ mega nĩmaragio igũrũ rĩaku, wee itũũra inene rĩa Ngai:	For my soul is full of troubles. My life draws near to Sheol.†
Ndũrĩrĩ nĩikoona ũthingu waku, nao athamaki othe mone riiri waku; nawe ũgeetagwo na rĩĩtwa rĩerũ, rĩrĩa rĩkaagwetwo na kanua ka Jehova. Ningĩ ũgaatuĩka ta tanji ya ũthaka ũnyiitĩtwo guoko-inĩ kwa Jehova, na ũhaana ta thũmbĩ ya ũthamaki ĩnyiitĩtwo guoko-inĩ kwa Ngai waku.	The nations will see your righteousness, and all kings your glory. You will be called by a new name, which Yahweh’s mouth will name. “Behold”, from “ἰδοὺ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.  TR adds “the Beginning and the End”  TR omits “God”  TR adds “I am the Alpha and the Omega, the First and the Last.”  TR adds “which are in Asia”
Andũ othe arĩa maagaĩirwo gũikara kambĩ ya Juda, kũringana na ikundi ciao-rĩ, nĩ andũ 186,400. Acio nĩo makaamba kuumagara.	“All who were counted of the camp of Judah were one hundred eighty-six thousand four hundred, according to their divisions. They shall set out first.
Endanagai mũndũ na ũrĩa ũngĩ, mũrĩ na wendani ta wa ciana cia ithe ũmwe. Na mũndũ nĩatĩĩage ũrĩa ũngĩ gũkĩra we mwene.	In love of the brothers be tenderly affectionate to one another; in honor prefer one another,
Arata akwa endwa, o na gũtuĩka nĩndĩrendete mũno kũmwandĩkĩra ũhoro wa ũhonokio ũrĩa tũgwatanĩire na inyuĩ-rĩ, nĩndĩronire kwagĩrĩire ndĩmwandĩkĩre nĩguo ndĩmũringĩrĩrie mũrũagĩrĩre wĩtĩkio ũrĩa wehokeirwo andũ arĩa aamũre ihinda rĩmwe rĩa kũigana.	Beloved, while I was very eager to write to you about our common salvation, I was constrained to write to you exhorting you to contend earnestly for the faith which was once for all delivered to the saints.
Cioneki ciao nĩ cia maheeni, na ũragũri wao o naguo no wa maheeni. Moigaga atĩrĩ, “Jehova oigĩte atĩrĩ,” o rĩrĩa Jehova atamatũmĩte; merĩgagĩrĩra atĩ ciugo ciao nĩikahinga!	They have seen falsehood and lying divination, who say, ‘Yahweh says;’ but Yahweh has not sent them. They have made men to hope that the word would be confirmed.
Nĩgũkorwo mathĩĩna matangĩtarĩka nĩmandigiicĩirie; mehia makwa nĩmanginyĩrĩire, ngaremwo nĩkuona. Maingĩhĩte gũkĩra njuĩrĩ cia mũtwe wakwa, na ngoro yakwa nĩyũrĩtwo nĩ hinya.	As for me, you uphold me in my integrity, and set me in your presence forever.
Wee nĩwe waringire ciama o na ũkĩonania morirũ kũu bũrũri wa Misiri, na no wĩkaga ũguo nginya ũmũthĩ, gũkũ Isiraeli o na gatagatĩ-inĩ ka andũ arĩa angĩ othe, namo magatũma wĩgĩĩre igweta rĩrĩa rĩrĩ rĩaku.	Is Ephraim my dear son? Is he a darling child? For as often as I speak against him, I still earnestly remember him. Therefore my heart yearns for him. I will surely have mercy on him,” says Yahweh.
na Dimuna, na Nahalali, hamwe na ithaka ciamo cia ũrĩithio; mothe maarĩ matũũra mana;	Dimnah with its pasture lands, and Nahalal with its pasture lands: four cities.
Magĩtunyana itũũra rĩu, na makĩrĩniina na rũhiũ rwa njora hamwe na mũthamaki warĩo, na tũtũũra twarĩo, na arĩa othe maarĩ thĩinĩ watuo. Matiatigirie mũndũ o na ũmwe arĩ muoyo. Nao makĩrĩananga biũ hamwe na arĩa othe maarĩ thĩinĩ warĩo, o ta ũrĩa meekĩte Egiloni.	They took it, and struck it with the edge of the sword, with its king and all its cities, and all the souls who were in it. He left no one remaining, according to all that he had done to Eglon; but he utterly destroyed it, and all the souls who were in it.
Nĩũũmenyithĩtie njĩra ya gũthiĩ muoyo-inĩ; nĩũkanjiyũria gĩkeno ndĩ harĩa ũrĩ, hamwe na mwago wa tene na tene ndĩ guoko-inĩ gwaku kwa ũrĩo.	They have now surrounded us in our steps. They set their eyes to cast us down to the earth.
Mũnene ũcio wa mbũtũ akĩnyiita mwanake ũcio guoko, akĩmũtwara keeheri-inĩ, akĩmũũria atĩrĩ, “Nĩ atĩa ũrenda kũnjĩĩra?” Nake mwanake ũcio akĩmũcookeria atĩrĩ, “Ayahudi nĩmaiguanĩire makũũrie ũmarehere Paũlũ nĩguo arũgame mbere ya kĩama rũciũ, metuĩte ta marenda gũtuĩria ũhoro wake wega.	The commanding officer took him by the hand, and going aside, asked him privately, “What is it that you have to tell me?”
nake akĩaria ndũmĩrĩri yake, akiuga atĩrĩ: “Ĩno nĩyo ndũmĩrĩri ya Balamu mũrũ wa Beori, ndũmĩrĩri ya mũndũ ũrĩa riitho rĩake rĩonaga wega,	He took up his parable, and said, “Balaam the son of Beor says, the man whose eyes are open says;
Arokũhe maũndũ marĩa ngoro yaku ĩĩrirĩirie,	He asked life of you and you gave it to him, even length of days forever and ever.
“Jehova ekuuga atĩrĩ: ‘Ũguo nĩguo ngaaniina rũtũrĩko rwa Juda o na rũtũrĩko rũnene rwa Jerusalemu.	Why should you be like a scared man, as a mighty man who can’t save? Yet you, Yahweh, are in the middle of us, and we are called by your name. Don’t leave us.
Ndũkanoohie mũndũ mũthingu njĩra-inĩ ũtharĩkĩre nyũmba yake ta mũitũ, ndũkanahithũkĩre gĩikaro gĩake;	Don’t lay in wait, wicked man, against the habitation of the righteous. Don’t destroy his resting place;
Wee nĩwĩtĩkĩtie atĩ Ngai no ũmwe. Ũguo nĩ wega! O nacio ndaimono nĩciĩtĩkĩtie ũguo, na ikainaina.	You believe that God is one. You do well. The demons also believe—and shudder.
Nyũmba ĩrĩa nini ĩkongerereka ĩtuĩke andũ ngiri, nayo ĩrĩa ĩtarĩ andũ aingĩ ĩtuĩke rũrĩrĩ rũrĩ hinya mũno. Niĩ nĩ niĩ Jehova. Nĩngeeka ũndũ ũcio narua ihinda rĩaguo rĩakinya.”	The little one will become a thousand, and the small one a strong nation. I, Yahweh, will do this quickly in its time.”
