English,Kikuyu
What are some of the field management practices in avocado production?,Hihi njīra imwe cia gūtungata mītī ya mīkorobia nīirīkū?
Mulching;,Gūthondeka mūūceni.
Supporting;,Gūtira
Fertilizer Use;,Kūhe bataraitha
Irrigation;,Kūhe maaī
Pruning;,Gūceha
Thinning;,Gūthathaūra matunda mītī-inī
Weeding;,Kūrīmīra
weed control;,Kūhūrana na ria
pollination,Gūciarithania
What is the importance of pruning in avocado production?,Hihi bata wa gūceha mītī ya mīkorobia nīūrīkū?
Pruning is done at the early stages before flowering to remove premature flowers and fruits and after harvesting.,Mītī īcehagwo tene ītacanūkīte nīguo kūruta mahūa na matunda maria matarendeka na ningī thutha wa kūgetha.
Why is thinning important in avocado production?,Hihi bata wa gūthathaūra matunda mītī-inī ya mīkorobia nīūrīkū?
Why is pollination important in an avocado orchard and how can it be enhanced?,Pollination nī ya bata ūrīkū ūrīmi-inī wa mīkorobia na īngīgacīrithio atīa?
Hass avocado trees are self-pollinating.,Mīkorobia mūthemba wa Hass nīīciarithanagia.
"But for a more plentiful harvest, farmers are advised to grow Hass with another variety like Fuerte for cross pollination.","No nīguo magetha makorūo marī maingī, arīmi nī magīrīirio kūhanda Hass hamwe na mīthemba īngī ta Fuerte nīguo īgacenjania mbeū."
What is the nutritional content of avocado?,Hihi ikorobia rīkoragwo na irio mūthemba ūrīkū?
The recommended rate of application is 4 tons per īka for Avocado,Mūigana ūrīa wagīrīire gwīkīrwo nī tani inya harī īka īmwe ya mītī ya mīkorobia.
What is the most critical stage to ensure avocado trees are irrigated?,Hihi ihinda rīrīa  rīa bata mūno rīa kūhe mītī ya mīkorobia maaī nī rīrīkū?
The most crucial period when additional irrigation water may be required is around mid January until April (the beginning of the long rains),Ihinda rīrīa rīkoragwo rīa bata mūnene gūitīīrīrīa maaī mangī nī kuuma gatagatī-inī ka Janūarī nginya April (kīambīrīria kīa mbura nene)
How would a farmer tell that avocados are ready for harvesting?,Mūrīmī angīmenya atīa makorobia nī makūrū?
"Since most varieties do not change colour on maturity, a few fruits should be picked and stored at room temperature for 7- 10 days.","Nīūndū mīthemba mīingī ya makorobia maticenjagia rangi rīrīa makūra, makorobia manini magīrīire gūtūo na kūigwo nyūmba kwa ihinda rīa thikū mūgwanja nginya ikūmi."
At what stalk length should avocado be harvested?,Ikorobia rīagīrīire gūtuo rīrī na kamūtī kaigana atia?
Fruit should not be pulled from the stalk but be cut off leaving a 3-cm stalk.,Ikorobia rīagīrīire gūtuo kuuma mūtī-inī na rīrengwo hamwe na kamūtī kena ūraihu wa 3cm.
How should avocado be harvested?,Makorobia magīrīire kūgethwo atia?
"It is advisable to train harvesters on harvesting techniques, hygiene and proper handling as well as occupational health and safety.","Nī wega gūthomithia atui a makorobia maūndū megiī njīra cia kūgetha, ūtheru na njīra njega ya kūmakuua, hamwe na maūndū megiī ūgima mwega wa mwīrī na ūgitīri rīrīa mararuta wīra."
"Avocado fruits should be clipped from the trees with secateurs, leaving a portion of the stalk attached on the fruit (about 0.5cm long).","Makorobia magīrīire gūtuo na magathī kuuma mītī-inī, na gūtigia kamūtī kanini kenyitīīrīire itunda-inī(ta 0.5cm)."
Fruits should be harvested into soft bags or clean buckets and stored in clean crates.,Makorobia mabatiī kūgetherwo mīhuko-inī mīororo kana ndoo-inī theru na macoke maigwo irīti-inī.
Harvesting records should be maintained by the farmer.,Mūrīmi agīrīire kūiga rekondi cia magetha.
How does one determine maturity  in avocado?,Mūndū amenyaga atīa ūkūrū wa makorobia?
"Dry matter analysis.Dry matter is dependent on variety, region and season.","Ūthuthuria wa dry matter. Dry matter īringanaga na mūthemba wa mūkorobia, itūra rīrīa ikorobia rīu rīkūrīirio, na kīmera."
Dry matter increases as the fruits mature.,Dry matter yongererekaga o ūria itunda rīrakūra.
Fruits can be stored in a warm place (about 20 degrees temperatures) for a week.,Makorobia no maigwo kūndū kūrī na ūrugarī mūnini (ithimo-inī coa 20oC) kwa ihinda ria kiumia kīmwe.
"If the fruits ripen without shriveling, that is an indication that the fruits are mature.","Makorobia mangīruha matekūhoha, monanagia atī nīmakūrū wega."
How are avocado fruits harvested?,Hihi makorobia magethagwo atīa?
What are the types of layout designs that should be used in avocado planting?,Mīkorobia ībatiī kūhandwo na njīra īrīkū?
"There are different systems of layout, including the rectangular, hexagonal or square system.","Nī kūrī mīthemba ngūrani ya mīhandīre, o hamwe na gūthondeka kīharo kīna kona inya itaiganaine, kona ithathatū kana ona kona inya ciganaine"
"In Kenya, the rectangular planting pattern is mainly used.","Kaingī būrūri-inī wa Kenya, mīkorobia īhandagwo kīharo-inī gia kona inya itaiganaine."
"This permits unhindered movement of machinery between the rows for cultivation, spraying, pruning and harvesting.","ūndū ūyū nīwītīkagīria macini ihote kūgerera gatagatī ka raini cia mīkorobia ikīrīmaga, ikīhūūraga dawa, gūceha ona kūgetha."
It also allows maximum penetration and utilization of sunlight by the lower parts of the trees,Ningī ūndū ūyū nīūteithagia riūa gūkinyīra honge cianathī na njīra njega.
What are the factors to consider when doing site selection for avocado planting?,Nī maūndū marīkū maroragwo hīndī ya gūcagūra mūgūnda mwega wa kūhanda mīkorobia?
"This will be followed, if necessary, by levelling off to remove unwanted anthills.","ūndū ūyū ūcoke ūrūmīrīrio, angīkorwo nī harī bata, kūiganania tīīrī na kweheria ithūa iria itangīendeka."
"Land preparation is similar to that for other crops, namely one deep ploughing (30 - 40 cm) and two to three harrowings.","Kūhaarīria mūgūnda kūhana o ta kwa mīmera īrīa ingī, na njīra ya gūcimba ūrikītie (ūriku wa 30 - 40 cm) na gūcokera maita merī nginya matatū."
"To achieve a good tilth of the cleared land, fruit growers are advised to plant an annual crop a year before starting fruit cultivation.","Nīguo gītira kia mūgūnda kiagīre, arīmī a matunda magīrīirwo kūhanda mīmera  ya kīmera kīmwe mwaka ūmwe mbere ya kūhanda matunda."
"If frequent strong winds are expected, the early establishment of a windbreak hedge is necessary.","Angīkorwo nī gūkoragwo na rūhuho rūnene kaingī, nī wega kūhanda rūgiri rwa kūhinga rūhuho."
"Depending on location, tree species like Cupressus, Casuarina, Grevillea, etc. can be used for this purpose.","Kūringana na matūra, mītī ta mūtarakwa, mūcindanūgū, mūbariti, na īngī no īhūthīrūo kūhinga rūhuho."
"Unprotected avocado orchards will be affected by stunted growth, increased evaporation and erosion, defoliation, damaged branches, bruised or even blown off fruits.","Mīgūnda ya mīkorobia īrīa ītarī na ūgitīīrī no ītūme mītī īhome, maaī maingī kūūra na riūa na tīīrī gūkuo nī kīguū, mītī gūita mathangū, honge kunīkanga, matunda kūgīa ironda kana kūgīa rangi wa gītīri."
"If there is a choice, level or slightly sloping land is advantageous, otherwise contour cultivation or even terracing may be necessary","Angīkorwo no ūthuure, mūgūnda mūigananu kana mūinamu hanini nīguo mwega, angīkorūo tiguo, no ūbatare gūthondeka benji."
What are the factors to consider when laying out a field for planting avocado?,Hihi nī maūndū marīkū mūndū agīrīirwo nī gwīciria akībanga mūgūnda wa kūhanda mīkorobia?
"When laying out the field, one should consider the type of soil and climatic conditions, tree type and size, irrigation, and farm machinery access.","Rīrīa mūndū arabanga mūgūnda, nī agīrīirwo nī gwīciria ūhoro wa tīīrī wa mūgūnda ūcio na rīera, mūthemba wa mūtī na ūnene waguo, ūhei wa maaī, na ūhoro wa macini irīhūthīkaga."
What is the ideal spacing for hass and fuerte?,Hihi mīkorobia mīthemba ya Hass na Fuerte ībatiī gūtaganio atīa hīndī ya kūhanda.
Fuerte and Hass are typically spaced at 9 x 9m (120 plants/ ha).,Kaingī mītī ya Fuerte na Hass ītaganagio na mīta kenda gwa kenda (Mītī igana rīmwe rīa mīrongo īrī harī o hactare)
Prepare holes 60 x 60 x 60 cm (length x width x depth) a month before planting.,Harīria marima mena ithimo cia 60 x 60 x 60 cm(ūraihu x wariī x ūriku) mweri ūmwe mbere ya kūhanda.
How many avocado trees can be planted in an īka in Kenya?,Hihi īka īmwe ībatiī kūhandwo mītī īigana ya mīkorobia būrūri-inī wa Kenya?
The average avocado tree population per īka in Kenya is 150 trees,īka īmwe būrūri-inī wa Kenya ībatiī kūhandwo mīkorobia igana rīmwe rīa mīrongo ītano.
What is the recommended spacing for planting avocados,Hihi mītī ya mīkorobia ībatiī gūtaganio atīa hīndī ya kūhanda?
"Spacing of 7-10 m × 7-× 10m ( Hass- 7mx7m, Fuerte 9mx9m, Pinkerton 6mx6m) giving a population of 50-81
plants per īka.","Ūtagananu wa mīta mūgwanja gwa ikūmi harī mītī ya Hass, Fuerte mita kenda gwa kenda, Pinkerton mita ithathatū gwa ithathatū irīa īkūrehe mūigana wa mītī mīrongo ītano nginya mīrongo īnana na īmwe harī o īka."
How should the holes for planting avocado be prepared before planting?,Hihi marima ma kūhanda mīkorobia mabatiī kūharīrio atīa mbere ya kūhanda?
Separate the top and sub-soils.,Gayūkania tīīri wa igūrū na wa nathī.
How is avocado planted?,Mīkorobia īhandagwo atīa?
Make a basin around the seedling for holding water.,Thondeka gītina-inī ūndū maaī marīrūgamaga hoo.
When is the ideal planting time for avocado?,Nī hīndī īrīkū njega ya kūhanda mīkorobia?
Transplanting is more successful when carried out during the long rains either early morning or evening.,Hindī njega ya gūthamia mīūngūrwa nī rīrīa kūrī na mbura nene ya kīmera mathaa na rūcinī tene kana hwainī.
"In hot areas, shade the seedlings after transplanting.",Nīwega gūthondekera mīūngūrwa ciīruru thutha wa kūmīthamia angīkorwo nīkūrī rīūa ihiū.
What are the steps involved in planting of hass avocado?,Nī makinya marīkū magīrīire kūrūmīrīrwo hīndī ya kūhanda mīkorobia mīthemba ya Hass?
Prepare the land by removing stumps and plough the land up to 30cm,Kūhaarīria mūgūnda na njīra ya kweheria ithukī na gūcimba mūgūnda ūcio na ūriku wa centimita mīrongo ītatū.
Ensure there are windbreakers such as hedges if the area has strong winds.,Nīwega kūhanda ngiri cia kūhinga rūhuho angīkorwo itūra rīrī nīrīgūmagīrwo nī huho nene.
Dig holes 2ft by 2ft by 2ft.,Enja marima ma futi igīrī kwa igīrī kwa igīrī.
Separate the top soil and the subsoil.,Kūgayūkania tīri ūrīa ūrī igūrū na ūrīa ūrī na thīī.
Put the topsoil on the left side and the sub-soil on the right.,Iga tīīri wa igūrū mwena wa ūmotho na wa nathīī mwena wa ūrīo.
Mix topsoil with two debes (buckets) of well-decomposed manure and a handful of NPK (20:10:10) fertilizer;,Tukanaia tīīri wa igūrū na ndebe igīrī cia thumu mūhīu wega na wongerere rūhī rwa bataraitha ya NPK(20:10:10).
Fill back the soil-manure-fertilizer mix;,Cokia mūtukanio ūyū wa tīīri-thumu-bataraitha irima-inī.
"Remove the polythene, plant the Hass avocado seedling carefully and firm the soil around the hole;","Ruta karatathi ka mūnyore, handa mūkorobia wa Hass ūmenyereire na ūkindīre tīīri irima-inī rīū."
It is now time to transplant your Hass avocado seedling.,Rīu nī ihinda rīa gūthamia mīūngūrwa ya Hass.
Farmers are advised to transplant during the start of the rainy season.,Arīmi magīrīirwo nī gūthamia mīūngūrwa īyo hīndī īrīa mbura īrambīrīria.
In Kenya is at the end of April.,Ihinda rīrī būrūri-inī wa Kenya nī mūthia-inī wa mweri wa īna.
This will enable your Hass avocados to establish themselves well on the farm.,ūndū ūyū nī ūtūmaga mīūngūrwa ya Hass īhande wega
What is the ideal spacing for hass and how many trees can i plant per īka?,Hihi mīkorobia ya Hass ībatiī gūtaganio atīa na nī mītī īgana ībatiī kūhandwo īka-inī īmwe?
The standard spacing for Hass avocado in Kenya is 5m by 5m.,Kaingī mīkorobia ya Hass būrūri-inī wa kenya ītaganagio na mita ithano gwa ithano.
"With this spacing, 150 Hass avocado trees can be planted in an īka.",Gūtagania gūkū nīgūtūmaga mītī igana rīmwe ria mīrongo ītano īkahandīka īka-inī īmwe.
What are the factors to consider in nursery site selection?,Nī maūndū marīkū magīrīirūo gwīcirio hīndī ya gūcagūra handū ha gūthondeka natharī ya mīkorobia.
Nearness to quality water source;,Handū hakūhīrīirīe kīhumo kia maaī.
"Good drainage; Security (Animals, thieves etc.)","tīīri ūraikūrūkia maaī wega; ūgitīri (Nyamū, aici, na maūndū mangī)"
Accessibility to the road;,Ūkinyanīria wa barabara;
"Availability of wind breaks (Casuarina, Grevillea etc.)","Handū harī na ngiri cia kūhinga rūhuho(mītarakwa, mībariti etc)."
How should a nursery be established?,Natharī ya mīkorobia ībatiī gūthondekwo atīa?
Prepare a seedbed of width 1 m and a desirable length by removing farm soil from the seedbed to a depth of 30 cm and refill the 30 cm depression with sand,Harīria natharī īrī na wariī wa mita īmwe na ūraihu ūrīa wagīrīire na njīra ya kweheria tīīrī natharī-inī īyo nginya ūriku wa 30cm na ūcoke wīihūrie mūtaro ūcio na mūthanga.
What are the characteristics of mother trees to collect seed from?,Hihi mīkorobia īrīa īhūthagīrūo kūruta mbeū īkoragwo na ngumo īrīkū?
Collect seed only from healthy and vigorous mother trees and from fruits which are mature and healthy rather than from off the ground,Ūngania mbeū kuuma kūrī mītī ītarī mīrwaru na īrīa īrakūra na hinya na ni nīngī kuuma kūrī matunda marīa makūrū na mega matarī maragwa thīī.
What are  features of potting media?,tīīri ūrīa wīkīragwo mīnyore-inī ya mīūngūrwa ūbatiī gūkorwo ūhana atīa?
"Potting media: medium texture, sterilized if possible and with good drainage properties","tīīrī ūyū ūbatiī gūkorwo ūrī mūhinyu hanini, ūtarī njamuthi na ūraikūrūkia maaī wega."
What are some of nursery management practices in avocado production?,Njīra imwe cia kūmenyerera natharī ya mīkorobia nī irīkū?
Nurseries should be sited away from Pineapple fields as this is a source of Phytopthora cinnamoni infection.,Natharī cia mīkorobia ibatiī gūthondekwo haraya na mūgūnda wa mananathi nīūndū nīmo kīhumo kia mūrimū mūrū wa Phytopthora Cinnamoni.
Avoid formation of hard pans on the potted plant by regularly pricking the soil with a sharp stick,Girīrīria kūmagara gwa tīīrī ūrīa wīkīrītwo mīnyore-inī ya mīūngūrwa na njīra ya kūūhurahuria ūkīhūthīra gakerecū.
When are rootstocks ready for grafting?,Nī rī gītina kia mūtī gīkoragwo kīrī gīkinyanīru gīa gūciarithania?
The rootstocks is ready for grafting 6 months after transplanting into biodegradable containers (6 X 9 Inches),Gītina kīa mūtī gīkinyanagīra gīgūciarithanio mīeri ītandatū thutha wa gūthamio kuuma tutainī na gwīkīrwo mīnyore-inī.
When are seedlings ready for transplanting after grafting?,Nī hīndī īrīkū mīūngūrwa īkoragwo īrī mīkinyu ya kūhandwo thutha wa gūciarithanio?
"4 to 6 months later, the seedlings are ready for transplanting into the field and should be well healed and free from pests and diseases","Thutha wa mīeri īna nginya ītandatū, mīūngūrwa mīciarithanie nīmīkinyanīru ya kūhandwo na ībatiī gūkorwo īrī mīhonu na īgītīirwo kuumana na tūtambi na mīrimū."
What is the most preferred time for transplanting of seedlings?,Nī hīndī īrīkū njega makīria ya kūhanda mīūngūrwa ya mīkorobia?
Trees should be planted at the beginning of the seasonal rainfall and as soon as the rain has deeply penetrated the ground,Mīkorobia yagīrīirwo kūhandwo kīambīrīria-inī kīa mbura ya kīmera na o rīrīa mbura yaringa na yaingīra tīīri-inī wega.
What are the factors to keep in mind when transplanting?,Nī maūndū marīkū magīrīirwo nī kūririkanwo hīndī ya kūhanda mīūngūrwa?
The potted plants are carefully removed from their eco-bags in such a way that the soil around the roots is not disturbed.,Mīnyore ībatiī kūrutwo kahora tīīri ūrīa ūnyitīte mīri ūtegūthīnio.
"Topsoil mixtures filled into the hole first, followed by the subsoil and firming down.","Mūtukanio wa tīīri mūnoru wambīrīre gūthika irima, ūcoke ūrūmīrīrwo nī tīīri wa nathī na ūkindīrwo wega."
Never plant an Avocado tree deeper than the soil level it was in while in the eco-bag.,Ndūkahande mūkorobia ūrikīire muno gūkīra ūriku wa harīa ūrakinyīte ūrī mūnyore-inī.
"After transplanting, the leftover soil is used to build a basin around each tree in order to collect water from rain or irrigation","Thutha wa kūhanda na kūihūria irima, tīīri ūrīa watigara ūhūthīrwo gūthondeka kīraī gīa kūhīngīrīria maaī hīndī ya mbura kana thutha wa kūhe mūtī maaī."
What are the major pest and disease control methods?,Nīnjīra irīkū irīcia bata makīria cia kūgirīrīria tūtambi na mīrimū?
Integrated Crop Management (ICM) is the best option for food safety.,Mūtukanio wa njīra itiganīte nīyo njīra īrīa njega makīria ya ūgitīīri wa tūtambi na mīrimū.
"These methods include scouting of pests, field hygiene, proper spacing, physical methods like use of pheromone traps , biological methods and others that will only give option of using pesticides as last option.","Njīra ici nīhamwe na gūcera mūgūnda-inī ūkīroraga tūtambi na mīrimū, kūiga ūtheru mūgūnda-inī, gūtagania mīkorobia wega hīndī ya kūhanda, ona kūhūthīra mītego ya kūgucīrīria tūtambi, njīra cia kīmerera, na njīra ingī iria iteithagīrīria ūhūthīri wa dawa ūkorwo ūrī ūndū wa mūthia."
How is False Codling Moth(FCM) controlled in avocado production?,Hihi gatambi mūthemba wa False Codling Moth(FCM) kagiragīrīrio atīa mīkorobia-inī.
Proper orchard sanitation; Infested fruits (both on the tree and fallen) should be removed regularly (twice a week) and buried 50 cm or dipped in a drum filled with water mixed with used oil for 1 week.,Ūtheru mwega wa mūgūnda; Matunda marwaru(marī mūtī-inī kana ona magwīte) mabatiī kweherio kaingī(maita merī o wiki) na mathikwo irima rīna ūriku wa 50cm kana maikio thīinī wa ibuba rīihūrītio maaī matukanīte ma oiro kwa ihinda ria wiki īmwe.
What are the symptoms of scab in avocado?,Hihi ndariri cia ironda cia makorobia nīirīkū?
"Lesions appear as small dark spots slightly raised, oval to elongated.","Ironda ciambagīrīria kuoneka tarī maroro mairū manini na maimbu, marīna mūhianīre wa ovo ndaihūku."
"These coalesce, giving a corky appearance to the surface of the fruits-impairing the appearance but not the internal quality of the fruit","Maroro maya manenehaga, makanyitana na magathondeka kīronda kīnene ngothi-inī mategūthūkia na thīinī."
How do i control scab in avocados?,Ingīhota atīa kūgirīrīria mūrimū wa ironda cia ngothi ya makorobia?
Orchard sanitation:,Ūtheru wa mūgūnda:
remove dead branches and twigs since they harbour the fungus.,eheria honge na ngerecū iria nguū nīūndū ituīkaga mūciī wa tūtambi.
remove fallen rotten fruits from the field,ūngania matunda marīa magwīte.
What are the symptoms of anthracnose in avocado production?,Ndariri cia mūrimū wa anthracnose mīkorobia-inī nīirīkū?
"Dry spots, dark brown in color, form on the skin, leading to abnormal development.",Maroro maniaru na mairū methondekaga ngothi-inī ya makorobia na magakūra na mūhianīre ūtarīmwega.
"In severe attacks, the young fruits drop.","Mūrimū ūngīneneha, makorobia magūaga marī manini kuuma mūtī-inī."
It is mostly a post-harvest disease as the fruits are more susceptible when mature,"Mūrimū ūyū kaingī, ūnyitaga makorobia marīa makūrū na magethetwo."
What are the symptoms of  Root Rot –Die Back in avocado production?,Ndariri cia mūrimū wa mīrī kūbutha na honge kūūma mīthia-inī ūrīmi-inī wa makorobia nīirīkū?
