English,Kikuyu
A good brooder should have the following: 1) Optimum Temperature (start 34o C at the end 28o C) 2) Good Ventilation (oxygen) 3) Optimum light 4) Adequate space (30 to 40 birds per sq. m),"Bruda njega ībatiī gūkorwo na maūndū maya: 1). Ūrugarīūrīa wagīrīire wakwambīrīria gīthimo kia 34oC nginya 28oC hīndīya kūrīkīrīria, 2).  Rīera rīega (oxygen), 3). Ūtheri wa kūigana, 4). Handū hanene kwūigana (ngūkū mīrongo ītatū nginya mīrongo īna harīo mita īmwe kwa īmwe)"
What to consider when constructing a brooder?,Nī maūndū marīkū wagīrīirūo nī gwīciria ūhoro wamo rīrīa ūraaka bruda?
"A safe, warm shelter is crucial for raising chicks. A round, wood-shavings filled brooder with a heat source like a jiko ensures their comfort and growth.","Ūgītīīri na ūrugarīnīmaūndū mabata mīrerere-inīya njui. Bruda yagīrīirwo gwakwo īgīthiūrūrī, īkarwo maranda, na kīhumo kīa ūrugarī gīgekīrwo ta njiko nīguo njui ikūre wega ītegūtangīka."
What are perches?,Hihi ngathīnīkīī?
Perches are poles suspended at about 40 cm from the floor for birds to rest on especially at night. They are useful in reducing aggression. The distance between perches should be 40cm and the perch space should be 5 – 10 cm for each bird.,Ūyū nī mwako wa mītī īcūrītīo ūraihu wa sentimita 40 kuuma thīī thīinī wa kīaga harīa ngūkū ciūmbaga rīrīa ikwenda kūhurūka makīria ūtukū. Mītī īno yagīrīire gūtaganio na warīe wa sentimita 40 na cio ngūkū igatinganīra sentimita 5 nginya 10.
What is pecking?,Gūkanya nī gwīka atīa?
"When an egg is laid, there is extraversion of the oviduct with high light intensity and poor nest quality; the protruded oviduct can be pecked by other birds causing death.","Riria ngūkū īrarekia itumbī, njīra ya ūciari nīyumanaga nanja na nīūndū wa ūgwo, kūngīkorwo kūrī na ūtheri mūingī gītara-inī gītarī gīake wega, ngūkū ingī no imīkanyekanye na gūcūngīrīria gīkūo kia ngūkū īyo."
How do you prevent pecking?,Hihi gūkanya kūngīrigīrīrio atia?
Use artificial lights with warm colors.,Hūthīra matawa marī na ūtheri mūthaka.
Control light intensity.,Nyihia kana wongerere ūtheri ūria kwagīrīire.
Shade open-sided houses.,īkīra kīruru ciaga-inī iria itarī ngirimanie mīena.
Provide comfortable nests in the right location and numbers.,Iga itara njega cia kūigana haria ciagīrīire thīinī wa ciaga.
Install perches in the production house.,Thondeka mītī ya kūūmbwo nī ngūkū thīinī wa kiaga kīrīa ūgūcirerera.
Avoid feed deficiency and under consumption.,Nīwega kwaga kūhūtia ngūkū.
Provide enough feeder space.,Nīngī mīharatī ya kūrīra īkorwo arī mīiganu.
Ensure a rapid feed distribution system.,Tigīrīra wīna mūtaratara mwega wa gūita irio mīharaatī-inī naihenya.
Avoid crumble and pellet feeds (takes a short time to consume).,Ndūkahe irio ihana hangarata nīūndū cioyaga ihinda rīnini kūrīka
"Avoid stress, parasites (internal and external) and enteritis.","Ehereria ngūkū mītangīko, igūnyū iria irī thīinī wa mwīrī ona igūrū kana ona mīrīmu ta mūthemba ūria ūtūmaga mara maimbe"
Provide good quality litter to keep birds occupied,Ita matandīko mega mekūiga ngūkū na mīhang'o ya kūhūria.
De-beak properly,Renga mīkanye wega.
What is smothering?,Smothering nī gūika atīa?
"It is the crowding together of floor-reared (deep litter) pullets, which may lead to piling, suffocation and death.","Gūkū nī gūcokanīrīra kwa ngūkū iria ireragīrwo ciaga-inī iria citagwo mahuti na itarī ngayanie, ūndū ūngītūma ithondeke hība, iremwo nī kūhuhia, o na ikue."
How to monitor for signs of illness in chicken?,Hihi ndariri cia ngūkū ndwaru imenyekaga atia?
"Keep an eye out for any unusual behavior or changes in the appearance of your chickens, as these could be signs of illness.","Ikara ūkīroraga mītugo ītarī ya ndūire kana ūgarūrūkū wa ūrīa ngūkū ihana, nīūndū ici noikorwo arī ndariri cia mūrimū."
"If you suspect that your chickens are sick, it’s important to isolate them and seek veterinary treatment as soon as possible.","Angīkorūo nīūkuona ngūkū ciaku irī na mūrimū, nī ūndū wa bata gūcieherania na iria ingī itarī ndwaru na ūcoke ūcarie ūteithio wa ndagītarī wa mahiū naihenya o ūrīa kūngīhoteka."
Why do we need to practice good biosecurity measures?,Hihi gītūmi gīa gūthingatithia ugitīīri wa kīmerera nī kīrīkū?
"To prevent the spread of diseases, it’s important to quarantine any new birds before introducing them to your existing flock and to avoid mixing birds from different sources",Nīgetha kūrigīrīria gūtherema kwa mīrimū. He bata kwamba kūiga keheri-inī ngūkū o yothe ng'eni mbere ya kūmīingīria kūrī iria ingī na ningī gwīthema gūtukania ngūkū kuuma ihumo itiganīte.
How to handle sick chicken?,Ngūkū ndwaru ītungatagwo atīa?
Sick chicken are usually treated using drugs given in feed or drinking water. This is given to all the chickens in the production unit (both sick and healthy),"Ngūkū ndwaru īthondekagwo na dawa īkīrītwo irio-inī kana maaī-inī ma kūnyua. Dawa īno īheagwo ngūkū ciothe irī thīinī wa kīaga, ndwaru na itarī ndwaru."
How to give medicine to sick chicken?,Ngūkū ndwaru iheagwo dawa atīa?
Mixing drugs with feed should be avoided as sick chickens always lose appetite and are too weak to compete for feed with healthy chickens,"Gūtukania dawa na irio gūtiagīrīire nīūndū ngūkū dwaru nīīremagwo kūrīa wega, na itirī na hinya wa gūcindana na iria itarī ndwaru."
"Increase in total feed consumption due to other factors increases total intake of all feed ingredients, including drugs","Gūkorwo ikīrīa irio nyingī nīūndū wa maūndū mangī matiganīte,nīgūteithagia kūhe mwīrī indo cia bata iria ithondekete irio na ningī dawa īrīa yongereirwo."
Water medication should be used since sick chickens would continue drinking water even when not eating,Kūhe dawa īrī maaī-inī nī kwa bata nīūndū ngūkū ona īrī ndwaru no īnyuaga maaī.
Medicating all the chickens is useful in putting the disease in check until the chickens develop strong immunity to overcome infections,"Kūhe ngūkū dawa irī ciothe nī kwa bata nīguo kūgirīrīria mūrimū, nginya ihote gwīthondekera ūgitīīri wa kūhota kūrūa na mīrimū."
"Vaccines should only be given in non-treated (non-chlorinated or distilled) water, as chlorine or other sanitizing agents can destroy vaccines",Dawa cia njanjo ciagīrīirwo gwīkīrwo maaī-inī matarī na dawa ta chlorine kana kīndū kīngī gīa kūraga njamuthi nīūndū no imīthūkie.
Avoid giving vaccine in water or feed for free-ranging chickens as it is not easy for chickens to consume the right dosage. Instead use eye/nostril drops,Wītheme kūhe njanjo īrī maaī-inī kūrī ngūkū itarī cia kūhingīrwo nīundū nociage kūnyua gīthimi kīrīa kīagīrīire.Na ithenya-inī rīu ūihe na njīra ya gūtatīria ritho kana iniūrū.
"Increased water intake during hot weather may lead to overconsumption of water medication, while cold weather may result in reduced water intake and thus under dosage of water medication",Kūnyua maaī maingī hīndī ya ūrugarī no gūcūngīrīrie kūnyūa dawa nyingī gūkīra gīthimi na ningī kūnyua maaī manini nīundū wa heho no gūtūme ngūkū īnyue dawa nini gūkīra gīthimi kīrīa kīagīrīire.
If natural sources of water are available the intake by some chicken from the trough may be light,"Angīkorwo ihumo cia kīmerera cia maaī ciīkuo, no igirie ngūkū īnyue maaī ma mūharatī wega."
How do healthy chickens appear?,Hihi ngūkū īrī ūgima mwega wa mwīrī īkoragwo īhana atīa?
"Externally they are clean, alert and on guard","īkīoneka nī theru, īikaraga īiguīte na īhūgīte."
Have bright eyes,īkoragwo na maitho matheru.
Their comb and wattles are pink,Kīrera nīkia rangi wa pinki
Have raised head and straight neck,Na mūtwe mūinamūku na ngingo nūngarū
"Are able to walk, stand, run and scratch","Nī īhotaga gūthiī, kūrūgama, gūteng'era ona kūhuria."
Have strong legs and normal voice (crows),Nī irī magūrū marī nahinya na nīikengetaga wega.
Have bright eyes and comb,Maitho na kīrera gīkengu.
Continuously eat and drink,Irīyaga na kūnyua hingo ciothe
Soft and compact droppings,igathiī kioro kiororo na kīnyitu
Breathe quietly,īhuhagia īhoreire
Lay eggs normally,Ikarekia matumbī wega
Have smooth neat feathers,Nīirī maguoya matheru na manyoroku
Scales on the feet are smooth and yellow,Scales cia magūrū nīnyoroku na rangi wa ngoikoni
How do unhealthy/sick chickens appear?,Hihi ngūkū ndwaru ikoragwo ihana atīa?
Drop their head and close their eyes,Ikoragwo ikomereirie mītwe na kūhinga maitho
Tired and lifeless,Ikoragwo arī nogu na itekwīigwa.
Dull eyes and comb,Maitho na irera itarīngengu
Sit or lie down,Ciikaraga ikomete kaingī
Eat and drink less,Irīaga na kūnyua hanini
Lay less or stop laying eggs,Ikarekia matumbī manini kana ona igatiga kūrekia biū.
Ruffled and loose feathers,Maguoya mahurute na maregeru
Wet droppings with blood or worms,Igathiī kīoro kīhūthū kīna thakame kana ona mīnyoo
"Diarrhoea, cough, sneeze and breathe noisily","Ikaharwo, gūkorora, kūhaya ona kūhuhia igīcayaga"
Faeces smear around vent region,Ikehakania kīoro gatitira-inī
Unable to move,Ikaremwo nī gūthiī
Abnormal sounds,Igakengeta kana kūruta mūgambo ūtarī wa ndūire
Legs bent and drooping wings,Magūrū macio nī magonyoku na nīigūithagia mathagu.
What are the common sources of infections in chickens?,Hihi ihumo nyingī cia mīrimū ya ngūkū nī irīkū?
Neighbours: disease outbreaks in neighbouring homesteads can easily spread to your farm,Mīciī īrīa mūrigainie: Mītuthūko ya mīrimū mīciī-inī īria mūringainie no ithereme kwa ūhūthū na īkinye gwaku mūgūnda.
"Human: workers, customers and other visitors can bring infections to your farm","Andū: Aruti a wīra, agūri na ageni no marehere mīrimū gwaku mūgūnda."
Recovered carriers: they appear healthy but they continue to shed germs causing diseases in faeces and discharges that can be a risk especially to chicks,"Ngūkū iria ciarīkia kūhona: Imwe ya ngūkū ici, cionekaga irī na ūgima mwega wa mwīrī no no ithiaga na mbere kūruta tūhengereta tūrīa tūrehaga mīrimū kūgerera kioro, ūndū ūrī ūrehaga ūgwati makīria harī tūcui."
"Housing chickens of different ages together: due to carrier status, varying immunity among chickens of different ages","Kūhingīra hamwe ngūkū ina ūkūrū ūtiganīte: nīūndū wa gūkua njamuthi, ngūkū irī na ūkūrū ngūrani ikoragwo na ūhoti ngūrani wa gwītiria mīrimū."
"New introduction: new purchases, gifts etc. may bring diseases to the farm","Indo ng'eni mūgūnda-inī: Indo njerū, iheo, na indo ingī, no irehe mīrimū mūgūnda-inī."
Egg-borne diseases: these are passed from infected hen to new hatched chicks. Some diseases are carried inside the egg shell while others are just on the shell surface e.g. Salmonellosis,Mīrimū īrehagwo nī matumbī: īno nī mīrimū īrīa ītambagio nī matumbī kuuma kūrī ngūkū iria ndwaru nginya kūrī njui. Mīrimū īno īmwe no īkorwo īrī thīinī wa ītumbī kana igūrū wa ikorogosha ta mūrimū wa Salmonellosis
Equipment: sharing of contaminated equipment between farms and failure to clean utensils,Indo cia wīra: Kūhoyana indo cia wīra ikūīte mīrimū kuuma mūgūnda-inī ūmwe nginya ūria ūngī na kwaga gūthambia wega indo cia kūrīra na kūrūgīra.
"Others: Rodents, household pets, wild birds, insects, feed","Indo ingī ni hamwe na mbīa, nyamū iria ireragīrwo nyūmba irī ciagūkenia andū, nyoni cia gīthaka, na irio cia mahiū."
What are the symptoms of Newcastle Disease?,Hihi ndariri cia mūrimū wa Newcastle nīirīkū?
It is caused by a highly contagious virus that infects the respiratory and nervous system.,Mūrimū ūyū ūrehagwo nī njamuthi mūthemba wa virus īgwatanagio mūno īria īhutagia mahūri.
In both chicks and old birds’ mortality varies from zero to 100 percent depending on the virulence of the organism.,"Ikuo cia njui na ngūkū no ikoragwo na ūtiganū mūnene, ūū atī no ikue ciothe kana ciathe gūkua onea īmwe, kūringana na ūrūrū wa njamuthi īyo."
The disease is spread to chicken by direct contact with droppings or discharges from infected birds.,Mūrimū ūyū ūtambagio na njīra ya ngūkū kūhutania na kioro kana gīko kīngī kia kuuma mwīrī wa ngūkū kana nyoni iria ndwaru.
"It affects all poultry including chicken, ducks, turkeys, pigeons but chicken are the most affected.","Ūnyitaga nyoni cia mīthemba yothe hamwe na ngūkū, bata, bata mūcinga, ona ndutura, no ngūkū nīcio irwaraga kaīngī."
Symptoms include: Egg production declining up to zero in four days.,Ndariri nī hamwe na ngūkū kūnyihia matumbī marīa irarekia na thutha wa thikū inya igakorwo itigīte kūrekia.
"When laying resumes, misshapen eggs are produced with rough and sometimes bleached shells.","Hīndī ya kūrekia yacokerera, matumbī maumaga na mūmbīre ūtarīwa ndūire, makorogoca matarī manyoroku na maumu rangi."
"In chicks, gasping coughing and sneezing is observed, nasal discharge, depression, and diarrhea.","Njui nīiremagwo nīkūhuhia, igakorora na gwathimūra, ikaruta kīmira, ikahorera na ikaharwo."
"Birds may be seen sitting on their back hock joints; others may walk backward, or in circles; or hide their head between their legs.","Ngūkū iria ndwaru ituragia maru, nacio ingī igīthīa na kīhutatī, kana gīthiūrūrī, kana ona ikahitha mūtwe gatagatī ka magūrū."
"In adult birds, external symptoms are more of respiratory nature and sudden decrease in egg production.",Ndariri ironeka cia mūrimū ūyū kūrī ngūkū īrarekia nī iria ikonainie na mahūri na kūremwo nī kūhuhia na kūnyihia kana ona gūtiga kūrekia o rīmwe.
Birds lose appetite and are droopy.,Nyoni nīciagaga thuti wa kūrīa na ikenda gūikara cinamīrīire.
"If the infection is severe, most birds sit on the floor and the roosts.","Ūrūrū wa mūrimū ūngīneneha, nyoni nyingī ikomaga thī na itara-inī."
"In severe illness, other symptoms include swelling of the head, twisted neck, and leg paralysis","Rīrīa ūrūrū wa mūrimū wakīra,ndariri ingī cionekaga nī hamwe na kūiba kwa mūtwe, ngingo thiore na gūkua kwa magūrū"
What are the symptoms Gumboro/infectious bursal disease?,Hihi ndariri cia mūrimū wa Gumboro ūria ūikaine ta infectious bursal disease nī irīkū?
It is a highly contagious viral disease that affects poultry but mainly chickens particularly at three to eight weeks old.,Ūyū nī mūrimū ūgwatanagio naihenya mūno ūrīa ūrehagwo nī njamuthi mūthemba wa virus na ūnyitaga ngūkū na kaingī njui cia wiki ithatū nginya wiki inyanya.
The chicken gets infection directly on contact with infected birds or indirectly through contact with material contaminated with infected fecal matter.,"Ngūkū inyitagwo nī mūrimū ūyū īmwe kwa īmwe na njīra ya kūhutia iria ndwaru, kana ona kūhutia indo ta mai ma ngūkū iria ndwaru."
"Contaminated clothes, beddings, equipment, and other materials can spread the disease to a flock.","Indo ingī ikuīte mūrimū ūyū ta nguo, matandīko, indo cia wīra, ona indo ingī no iteithīe gūtheremia mūrimū ūyū."
The virus causing this disease is stable in the environment and particularly difficult to eradicate once it infects a flock.,Njamuthi mūthemba wa virus īrīa īrehaga mūrimū ūyū nī irī hinya kweheria ciarīkia kūnyita rūūru rwa ngūkū.
"Symptoms include severe prostration, watery whitish diarrhea, soiled vent feathers, inflammation of the cloaca and eventually death.","Ndariri cia mūrimū ūyū nī ngūkū kūinamīrīra mūno, kūharwo coka, maguoya mahake mai gatitira-inī, kūiba na thutha kana cloaca, na mūthia gūkua."
What are the symptoms Fowl Typhoid?,Hihi ndariri cia mūrimū wa Fowl Tyhoid nī irīkū?
The disease is caused by a microorganism called salmonella gallinarum or shigella gallinarum.,Mūrimū ūyū ūrehagwo nī njamuthi cīatagwo salmonella gallinarum or shigella gallinarum.
"Symptoms include dullness, ruffled feathers, paleness of the head drooping comb, loss of appetite and pale orange coloured diarrhea.","Ndariri nī hamwe na kwaga gūcanjamūka, maguoya mabararūku, mūtwe mūhūnyūku, kīrera kīinamu, kwaga thuti wa kūrīa, na kūharwo kioro kia rangi mūtheuku wa orange"
Symptoms appear in three to four days after infection and death occur in two weeks.,"Ndariri ici cionekaga thikū ithatū nginya inya thutha wa ngūkū kūrwara, igacoka gūkua thutha wa wiki igīrī."
"The disease can be introduced into the flock by infected birds, materials, shoes, litter, etc","Mūrimū ūyū no ūtambio nī ngūkū ingī iria ndwaru, indo, iratū, matandīko hamwe na indo ingī."
What are the symptoms Fowl Cholera?,Hihi ndariri cia mūrimū wa fowl cholera nī irīkū?
"The disease is caused by pasteurella avicida, a microorganism that multiplies very rapidly in the blood causing poisoning.","Mūrimū ūyū ūrehagwo nī njamuthi mūthemba wa Pasteurella avicida, īrīa īciaranaga naihenya mūno thīinī wa thakame na kūmīroga"
"Sick birds, wild birds, human, animals or utensils transmit the disease.","Nyoni ndwaru, nyoni cia gīthaka-inī, andū, nyamū kana ona indo cia kūrīra na kūrugīra nī itambagia mūrimū ūyū."
"Symptoms include a yellowish colouration on birds’ droppings, which is followed by yellowish or greenish diarrhea.","Ndariri nī hamwe na ngūkū gūthiī kīoro kīna rangi mūtheūku wa ngoikoni, kīria gīcoka kūrūmīrīrwo nī rūharwo rwa rangi wa ngoikoni kana ngirini"
"Infected birds become droopy, feverish and sleepy.","Nyoni iria ndwaru cikaraga cinamīte, ina ūrugarī mūingī na kwenda gūkoma"
The birds also sit with the head down or turned backward or rested in feathers around the wing.,Ngūkū ici ningī ikomaga igūithītie mūtwe kana ikaūroria nathutha kana ikaūhitha ithagu-inī.
The disease spreads very rapidly in a flock.,Mūrimū ūyū  ūtheremaga naihenya mūno
What are the symptoms of Pullorum Disease?,Hihi ndariri cia mūrimū wa Pullorum nī irīkū?
"Pullorum disease is caused by a microorganism called Salmonella Pullorum, which infects the ovary of the hen","Mūrimū wa Pulorum ūrehagwo nī njamuthi mūthemba wa Salmonella Pullorum, īria īrwaragia kīga kia matumbī ma ngūkū."
The microorganism can also be found in the intestine of chicks.,Njamuthi ici nīcionekaga thīinī wa mara ma njui.
The disease is usually spread by eggs laid by birds carrying the microorganism and chicks hatched from those eggs.,"Kaingī, mūrimū ūyū ūtambagio nī matumbī marīa mareketio nī nyoni iria ndwaru kana njui iria icarīkagio kuuma matumbī-inī mareketio nī nyoni icio ndwaru."
Symptoms: Chicks utter squeaky chirps and appear drowsy and ruffle.,"Ndariri nīhamwe na tūcui kūnyingira, tūkoneka twīna gītoro na maguoya mambararūku."
The vent is sometimes smeared with fecal discharges.,Rīmwe nathutha gatitira-inī hakoragwo hahakanītio mai.
"In adult birds, no external symptoms are seen.",Nacio nyoni ng'ima itionanagi ndariri o ciothe.
"In chicks, symptoms are seen in four to 10 days with death occurring in three weeks.",Tūcui twonanagia ndariri thutha wa thikū inya nginya ikūmi kuuma twa nyitwo nī mūrimū ūyū na tūgakua thutha wa wiki ithatū.
What are the symptoms of Fowl Pox?,Ndariri cia fowl pox ya ngūkū nī irīkū?
Fowlpox is a highly infectious skin disease.,mūrimū wa Fowl pox nī mūrimū wa ngothi na ūtheremaga naihenya.
"It is characterized by typical pox lesions in the form of wart-like scabs on the face, comb, and wattles.",wambagīrīria na thundo na tūronda tūrīa tūcokaga kūhana batata ūthiū-inī na kirera-inī.
It causes painful sores on the featherless skin and/or the respiratory and digestive tract.,ūtūmaga igīe na ironda irī na ruo kūria gūtarī maguoya kana mūmero wa irio na wa rīera.
Chicken are infected through contact with scabs from infected birds or through blood-sucking insects such as mosquitoes.,"Ngūkū irwaraga mūrimū ūyū kumana na kūhutania na irema cia ironda cia ngūkū īrīa ndwaru, kana kūgerera tūtambi tūrīa tūnyuaga thakame ta rwagī."
