Reference,Kikuyu,English
Exodus 1:14,"Andũ a Misiri magĩtũma mũtũũrĩre wa andũ a Isiraeli ũgĩe na ruo rũkĩru nĩ ũndũ wa wĩra mũritũ wa gũthondeka maturubarĩ na thimiti, hamwe na mawĩra ma mĩthemba yothe mĩgũnda-inĩ; andũ a Misiri maamahinyagĩrĩria matekũmaiguĩra tha mawĩra-inĩ mao mothe.","and they made their lives bitter with hard service in mortar and in brick, and in all kinds of service in the field, all their service, in which they ruthlessly made them serve."
Exodus 1:15,"Mũthamaki wa bũrũri wa Misiri akĩĩra Shifira na Pua, aciarithania arĩa maateithagia atumia a Ahibirania,* atĩrĩ,","The king of Egypt spoke to the Hebrew midwives, of whom the name of the one was Shiphrah, and the name of the other Puah,"
Exodus 1:16,"“Rĩrĩa mũrĩteithagia atumia a Ahibirania makĩgĩa ciana, na mwamarora marĩ gĩtanda-inĩ gĩa kũgĩĩra mwana-rĩ, mũngĩona nĩ kahĩĩ kooragei, no kangĩkorwo karĩ kairĩtu, mũkareka gatũũre muoyo.”","and he said, “When you perform the duty of a midwife to the Hebrew women, and see them on the birth stool, if it is a son, then you shall kill him; but if it is a daughter, then she shall live.”"
Exodus 1:17,"Na rĩrĩ, aciarithania acio tondũ nĩmetigĩrĩte Ngai, matiigana gwĩka ũrĩa mũthamaki wa bũrũri wa Misiri aamerĩte meke; makĩreka tũhĩĩ tũu tũtũũre muoyo.","But the midwives feared God,‡ and didn’t do what the king of Egypt commanded them, but saved the baby boys alive."
Exodus 1:18,"Nake mũthamaki ũcio wa bũrũri wa Misiri agĩĩta aciarithania acio, akĩmooria atĩrĩ, “Mwĩkĩte ũũ nĩkĩ? Nĩ kĩĩ gĩtũmĩte mũreke tũhĩĩ tũtũũre muoyo?”","The king of Egypt called for the midwives, and said to them, “Why have you done this thing and saved the boys alive?”"
Exodus 1:19,"Nao aciarithania acio magĩcookeria Firaũni atĩrĩ, “Atumia a Ahibirania matihaana ta atumia a Misiri; o nĩ ahiũ magĩaga ciana aciarithania matanakinya.”","The midwives said to Pharaoh, “Because the Hebrew women aren’t like the Egyptian women; for they are vigorous and give birth before the midwife comes to them.”"
Exodus 1:20,"Nĩ ũndũ ũcio Ngai agĩgĩtanahĩra aciarithania acio, nao andũ a Isiraeli makĩongerereka o na makĩingĩha makĩria.","God dealt well with the midwives, and the people multiplied, and grew very mighty."
Exodus 1:21,"Na rĩrĩ, tondũ aciarithania acio nĩmetigĩrĩte Ngai, akĩmahe ciana ciao kĩũmbe.","Because the midwives feared God, he gave them families."
Exodus 1:22,"Nake Firaũni agĩatha andũ ake othe atĩrĩ: “Kahĩĩ o gothe gaaciarwo nĩ Mũhibirania no nginya mũgagaikia Rũũĩ rwa Nili, no mũreke kairĩtu o gothe gatũũre muoyo.”","Pharaoh commanded all his people, saying, “You shall cast every son who is born into the river, and every daughter you shall save alive.”"
Exodus 2:1,"Na rĩrĩ, mũndũ ũmwe wa nyũmba ya Lawi nĩahikirie mũtumia wa mũhĩrĩga wa Alawii,",A man of the house of Levi went and took a daughter of Levi as his wife.
Exodus 2:2,"nake akĩgĩa nda, agĩciara kahĩĩ. Rĩrĩa onire kaarĩ kaana gathaka-rĩ, agĩkahitha nyũmba mĩeri ĩtatũ.","The woman conceived and bore a son. When she saw that he was a fine child, she hid him three months."
Exodus 2:3,"No rĩrĩa aaremirwo nĩgũkahitha rĩngĩ-rĩ, agĩgathondekera gĩkabũ gĩa ithanjĩ na agĩgĩthinga na rami. Agĩcooka agĩkomia kaana kau thĩinĩ wakĩo, agĩkahitha mathanjĩ-inĩ kũu hũgũrũrũ-inĩ cia Nili.","When she could no longer hide him, she took a papyrus basket for him, and coated it with tar and with pitch. She put the child in it, and laid it in the reeds by the river’s bank."
Exodus 2:4,Mwarĩ wa nyina na kaana kau aarũgamaga haraaya nĩguo one ũndũ ũrĩa ũngĩgakora.,"His sister stood far off, to see what would be done to him."
Exodus 2:5,"Na rĩrĩ, mwarĩ wa Firaũni agĩikũrũka Nili nĩguo agethambe, nacio ndungata ciake ciaceerangaga kũu hũgũrũrũ-inĩ cia rũũĩ rũu. Nake akĩona gĩkabũ kĩu kũu ithanjĩ-inĩ, na agĩtũma ngombo yake ya mũirĩtu ĩkĩgĩĩre.","Pharaoh’s daughter came down to bathe at the river. Her maidens walked along by the riverside. She saw the basket among the reeds, and sent her servant to get it."
Exodus 2:6,"Agĩkunũra gĩkabũ kĩu na akĩona kaana kau. Agĩkaiguĩra tha tondũ nĩkarĩraga. Nake akiuga atĩrĩ, “Gaka nĩ kaana kamwe ga twana twa Ahibirania.”","She opened it, and saw the child, and behold, the baby cried. She had compassion on him, and said, “This is one of the Hebrews’ children.”"
Exodus 2:7,"Nake mwarĩ wa nyina na kaana kau akĩũria mwarĩ wa Firaũni atĩrĩ, “Ngacarie mũtumia ũmwe Mũhibirania akũrerere kaana gaka?”","Then his sister said to Pharaoh’s daughter, “Should I go and call a nurse for you from the Hebrew women, that she may nurse the child for you?”"
Exodus 2:8,"Nake agĩcookia atĩrĩ, “Ĩĩ, thiĩ.” Nake mũirĩtu ũcio agĩthiĩ, akĩgĩĩra nyina wa kaana kau.","Pharaoh’s daughter said to her, “Go.” The young woman went and called the child’s mother."
Exodus 2:9,"Mwarĩ wa Firaũni akĩmwĩra atĩrĩ, “Oya kaana gaka ũkanderere, nĩndĩrĩkũrĩhaga.” Nĩ ũndũ ũcio mũtumia ũcio akĩoya kaana kau agĩkarera.","Pharaoh’s daughter said to her, “Take this child away, and nurse him for me, and I will give you your wages.” The woman took the child, and nursed him."
Exodus 2:10,"Rĩrĩa kaana kau gaakũrire-rĩ, agĩgatwarĩra mwarĩ wa Firaũni nako gagĩtuĩka ta mũriũ. Agĩgeeta Musa, akiuga atĩrĩ, “Nĩ tondũ ndakarutire maaĩ-inĩ.”","The child grew, and she brought him to Pharaoh’s daughter, and he became her son. She named him Moses,† and said, “Because I drew him out of the water.”"
Exodus 2:11,"Thuutha wa Musa gũtuĩka mũndũ mũgima-rĩ, mũthenya ũmwe nĩathiire gũceera harĩa andũ ao maarĩ, nake akĩmabaara makĩrutithio wĩra na hinya. Ningĩ akĩona Mũmisiri akĩhũũra Mũhibirania, ũmwe wa andũ ake mwene.","In those days, when Moses had grown up, he went out to his brothers and saw their burdens. He saw an Egyptian striking a Hebrew, one of his brothers."
Exodus 2:12,"Nake acũthĩrĩria mĩena yothe na ndone mũndũ-rĩ, akĩũraga Mũmisiri ũcio, na akĩmũthika mũthanga-inĩ.","He looked this way and that way, and when he saw that there was no one, he killed the Egyptian, and hid him in the sand."
Exodus 2:13,"Mũthenya ũyũ ũngĩ akiumagara na akĩona Ahibirania eerĩ makĩrũa. Akĩũria ũrĩa wogitanĩte atĩrĩ, “Ũraringa Mũhibirania wanyu nĩkĩ?”","He went out the second day, and behold, two men of the Hebrews were fighting with each other. He said to him who did the wrong, “Why do you strike your fellow?”"
Exodus 2:14,"Nake mũndũ ũcio akĩmũũria atĩrĩ, “Nũũ wagũtuire mwathi na mũtuithania wa maciira maitũ? Anga nĩũreciiria kũnjũraga o ta ũrĩa ũrooragire Mũmisiri?” Nake Musa agĩĩtigĩra na agĩĩciiria atĩrĩ, “Ũrĩa ndĩrekire no nginya ũkorwo nĩũmenyekete.”","He said, “Who made you a prince and a judge over us? Do you plan to kill me, as you killed the Egyptian?” Moses was afraid, and said, “Surely this thing is known.”"
Exodus 2:15,"Rĩrĩa Firaũni aiguire ũhoro ũcio, akĩgeria kũũragithia Musa, nowe Musa akĩũrĩra Firaũni agĩthiĩ gũtũũra Midiani,* kũrĩa aikarire thĩ hakuhĩ na gĩthima.","Now when Pharaoh heard this thing, he sought to kill Moses. But Moses fled from the face of Pharaoh, and lived in the land of Midian, and he sat down by a well."
Exodus 2:16,"Na rĩrĩ, Jethero mũthĩnjĩri-ngai wa Midiani aarĩ na airĩtu ake mũgwanja, nao magĩũka gũtaha maaĩ na kũiyũria mĩharatĩ manyuithie rũũru rwa mbũri rwa ithe wao.","Now the priest of Midian had seven daughters. They came and drew water, and filled the troughs to water their father’s flock."
Exodus 2:17,"Arĩithi amwe nĩmookire na makĩingata airĩtu acio, no Musa agĩũkĩra, akĩmateithũra na akĩhe ũhiũ wao maaĩ.","The shepherds came and drove them away; but Moses stood up and helped them, and watered their flock."
Exodus 2:18,"Rĩrĩa airĩtu acio maainũkire kũrĩ ithe wao Reueli-rĩ,† akĩmooria atĩrĩ, “Nĩ kĩĩ gĩatũma mũcooke narua ũguo ũmũthĩ?”","When they came to Reuel, their father, he said, “How is it that you have returned so early today?”"
Exodus 2:19,"Makĩmũcookeria atĩrĩ, “Mũmisiri ũmwe nĩatũteithũrire kũrĩ arĩithi; o na nĩwe ũtũtahĩire maaĩ na atũheera mbũri ciitũ maaĩ.”","They said, “An Egyptian delivered us out of the hand of the shepherds, and moreover he drew water for us, and watered the flock.”"
Exodus 2:20,"Jethero akĩmooria atĩrĩ, “Na akĩrĩ kũ?” “Mũmũtigire nĩkĩ? Thiĩi mũmwĩte, oke arĩĩanĩre na ithuĩ.”","He said to his daughters, “Where is he? Why is it that you have left the man? Call him, that he may eat bread.”"
Exodus 2:21,"Nake Musa agĩĩtĩkĩra gũikara kwa mũndũ ũcio, nake akĩmũhe mwarĩ wetagwo Zipora amũhikie.","Moses was content to dwell with the man. He gave Moses Zipporah, his daughter."
Exodus 2:22,"Zipora agĩciara kaana ga kahĩĩ, nake Musa agĩgeeta Gerishomu, tondũ oigire atĩrĩ, “Nduĩkĩte mũgeni bũrũri wene.”","She bore a son, and he named him Gershom,‡ for he said, “I have lived as a foreigner in a foreign land.”"
Exodus 2:23,"Thuutha wa ihinda iraaya-rĩ, mũthamaki wa bũrũri wa Misiri nĩakuire. Andũ a Isiraeli magĩcaaya nĩ ũndũ wa ũkombo, na makĩrĩrĩra Ngai; nakĩo kĩrĩro kĩao atĩ mateithio nĩ ũndũ wa ũkombo gĩgĩkinyĩra Ngai.","In the course of those many days, the king of Egypt died, and the children of Israel sighed because of the bondage, and they cried, and their cry came up to God because of the bondage."
Exodus 2:24,"Nake Ngai akĩigua gũcaaya kwao nake akĩririkana kĩrĩkanĩro gĩake na Iburahĩmu, na Isaaka na Jakubu.","God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob."
Exodus 2:25,"Nĩ ũndũ ũcio Ngai akĩona gũtangĩka kwa andũ a Isiraeli, nake akĩrũmbũiya ũhoro wao.","God saw the children of Israel, and God understood."
Exodus 3:1,"Na rĩrĩ, Musa nĩ kũrĩithia arĩithagia rũũru rwa mbũri rwa mũthoni-we Jethero, mũthĩnjĩri-ngai wa Midiani, nake agĩtongoria rũũru rũu rwa mbũri mwena ũũrĩa ũngĩ wa werũ kũraya ma, na agĩkinya Horebu, kĩrĩma-inĩ kĩa Ngai.*","Now Moses was keeping the flock of Jethro, his father-in-law, the priest of Midian, and he led the flock to the back of the wilderness, and came to God’s mountain, to Horeb."
Exodus 3:2,"Arĩ kũu-rĩ, akiumĩrĩrwo nĩ mũraika wa Jehova arĩ nĩnĩmbĩ-inĩ cia mwaki ikiuma kĩhinga-inĩ. Musa akĩona atĩ o na gũtuĩka kĩhinga nĩgĩakanaga-rĩ, gĩtiahĩaga.","Yahweh’s† angel appeared to him in a flame of fire out of the middle of a bush. He looked, and behold, the bush burned with fire, and the bush was not consumed."
Exodus 3:3,"Nĩ ũndũ ũcio Musa agĩĩciiria atĩrĩ, “Nĩngũthiĩ ho nĩgeetha nyone ũndũ ũyũ mũgeni, menye kĩrĩa kĩragiria kĩhinga kĩhĩe.”","Moses said, “I will go now, and see this great sight, why the bush is not burned.”"
Exodus 3:4,"Rĩrĩa Jehova onire atĩ nĩathiĩ hau gũcũthĩrĩria, Ngai akĩmwĩta arĩ kĩhinga-inĩ, “Musa! Musa!” Nake Musa agĩĩtĩka, akiuga atĩrĩ, “Niĩ ũyũ haha.”","When Yahweh saw that he came over to see, God called to him out of the middle of the bush, and said, “Moses! Moses!” He said, “Here I am.”"
Exodus 3:5,"NakeNgaiakĩmwĩraatĩrĩ, “Ndũgakuhĩrĩriehaha. Rutairaatũciakumagũrũ, nĩgũkorwohandũhau ũrũgamĩte nĩ handũ hatheru.”","He said, “Don’t come close. Take off your sandals, for the place you are standing on is holy ground.”"
Exodus 3:6,"Ningĩ akĩmwĩra atĩrĩ, “Niĩ nĩ niĩ Ngai wa thoguo, Ngai wa Iburahĩmu, Ngai wa Isaaka, o na Ngai wa Jakubu.” Kahinda kau Musa akĩhitha ũthiũ wake, tondũ nĩetigĩrire kũrora Ngai.","Moreover he said, “I am the God of your father, the God of Abraham, the God of Isaac, and the God of Jacob.” Moses hid his face because he was afraid to look at God."
Exodus 3:7,"Jehova akiuga atĩrĩ; “Ti-itherũ nĩnyonete mĩnyamaro ya andũ akwa kũu bũrũri wa Misiri. Nĩnjiguĩte kĩrĩro kĩao nĩ ũndũ wa arũgamĩrĩri a ngombo arĩa mamahinyagĩrĩria, na nĩngũrũmbũiya ũhoro wa kũnyamarĩka kwao.","Yahweh said, “I have surely seen the affliction of my people who are in Egypt, and have heard their cry because of their taskmasters, for I know their sorrows."
Exodus 3:8,"Nĩ ũndũ ũcio nĩnjikũrũkĩte nĩguo ndĩmateithũre kuuma moko-inĩ ma andũ a Misiri, ndĩmarute bũrũri ũcio, ndĩmatware bũrũri mwega na mwariĩ, bũrũri ũrĩ bũthi wa iria na ũũkĩ, kũrĩa gũtũũragwo nĩ Akaanani, na Ahiti, na Aamori, na Aperizi, na Ahivi, na Ajebusi.","I have come down to deliver them out of the hand of the Egyptians, and to bring them up out of that land to a good and large land, to a land flowing with milk and honey; to the place of the Canaanite, the Hittite, the Amorite, the Perizzite, the Hivite, and the Jebusite."
Exodus 3:9,"Na rĩu kĩrĩro kĩa andũ a Isiraeli nĩkĩnginyĩire, na nĩnyonete ũrĩa andũ a bũrũri wa Misiri maramahinyĩrĩria.","Now, behold, the cry of the children of Israel has come to me. Moreover I have seen the oppression with which the Egyptians oppress them."
Exodus 3:10,"Nĩ ũndũ ũcio, thiĩ. Ndĩragũtũma kũrĩ Firaũni ũkarute andũ akwa a Isiraeli moime bũrũri wa Misiri.”","Come now therefore, and I will send you to Pharaoh, that you may bring my people, the children of Israel, out of Egypt.”"
Exodus 3:11,"No Musa akĩũria Ngai atĩrĩ, “Niĩ ndĩ ũ wa gũthiĩ kwa Firaũni ngarute andũ a Isiraeli moime bũrũri wa Misiri?”","Moses said to God, “Who am I, that I should go to Pharaoh, and that I should bring the children of Israel out of Egypt?”"
Exodus 3:12,"Nake Ngai agĩcookia atĩrĩ, “Ndĩrĩkoragwo hamwe nawe. Naguo ũndũ ũyũ nĩguo ũgaatuĩka kĩmenyithia gĩa atĩ nĩ niĩ ngũtũmĩte: Rĩrĩa ũkaaruta andũ a Isiraeli moime bũrũri wa Misiri, nĩmũkahooyagĩra Ngai kĩrĩma-inĩ gĩkĩ.”","He said, “Certainly I will be with you. This will be the token to you, that I have sent you: when you have brought the people out of Egypt, you shall serve God on this mountain.”"
Exodus 3:13,"Musa akĩĩra Ngai atĩrĩ, “Ingĩthiĩ kũrĩ andũ a Isiraeli ndĩmeere atĩrĩ, ‘Nĩ Ngai wa maithe manyu wandũma kũrĩ inyuĩ,’ nao manjũũrie atĩrĩ, ‘Ngai ũcio etagwo atĩa?’ ngaamacookeria atĩa?”","Moses said to God, “Behold, when I come to the children of Israel, and tell them, ‘The God of your fathers has sent me to you,’ and they ask me, ‘What is his name?’ what should I tell them?”"
Exodus 3:14,"Ngai akĩĩra Musa atĩrĩ, “NIĨ NDŨIRE O TA ŨRĨA NDŨIRE. Ĩra andũ a Isiraeli atĩrĩ, Ũrĩa wĩtagwo ‘NIĨ NDŨIRE nĩwe ũndũmĩte kũrĩ inyuĩ.’ ”","God said to Moses, “I AM WHO I AM,” and he said, “You shall tell the children of Israel this: ‘I AM has sent me to you.’ ”"
Exodus 3:15,"Ningĩ Ngai agĩcooka akĩĩra Musa atĩrĩ, “Ĩra andũ a Isiraeli atĩrĩ, ‘Jehova, o we Ngai wa maithe manyu, Ngai wa Iburahĩmu, na Ngai wa Isaaka na Ngai wa Jakubu nĩandũmĩte kũrĩ inyuĩ.’ Rĩĩrĩ nĩrĩo rĩĩtwa rĩakwa nginya tene, rĩĩtwa rĩrĩa ndĩĩririkanagwo narĩo kuuma njiarwa na njiarwa.","God said moreover to Moses, “You shall tell the children of Israel this, ‘Yahweh, the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has sent me to you.’ This is my name forever, and this is my memorial to all generations."
Exodus 3:16,"“Thiĩ, ũcookanĩrĩrie athuuri a Isiraeli, ũmeere atĩrĩ, ‘Jehova, Ngai wa maithe manyu o we Ngai wa Iburahĩmu, na Isaaka, na Jakubu nĩanyumĩrĩire akanjĩĩra atĩrĩ: Nĩndorete na ngoona maũndũ marĩa mwĩkĩtwo kũu bũrũri wa Misiri,","Go and gather the elders of Israel together, and tell them, ‘Yahweh, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, has appeared to me, saying, “I have surely visited you, and seen that which is done to you in Egypt."
Exodus 3:17,"na nĩnduĩte nĩngũmũruta kuuma mĩnyamaro-inĩ yanyu kũu bũrũri wa Misiri, ndĩmũtware bũrũri wa Akaanani, na Ahiti, na Aamori, na Aperizi, na Ahivi, na Ajebusi, bũrũri ũrĩ bũthi wa iria na ũũkĩ.’","I have said, I will bring you up out of the affliction of Egypt to the land of the Canaanite, the Hittite, the Amorite, the Perizzite, the Hivite, and the Jebusite, to a land flowing with milk and honey.” ’"
Exodus 3:18,"“Athuuri acio a Isiraeli nĩmagagũthikĩrĩria. Ningĩ wee na athuuri acio nĩmũgathiĩ kũrĩ mũthamaki wa bũrũri wa Misiri na mũmwĩre atĩrĩ, ‘Jehova, o we Ngai wa Ahibirania, nĩarĩtie na ithuĩ. Nĩ ũndũ ũcio twĩtĩkĩrie tũthiĩ rũgendo rwa mĩthenya ĩtatũ werũ-inĩ tũkarutĩre Jehova Ngai witũ magongona.’","They will listen to your voice. You shall come, you and the elders of Israel, to the king of Egypt, and you shall tell him, ‘Yahweh, the God of the Hebrews, has met with us. Now please let us go three days’ journey into the wilderness, that we may sacrifice to Yahweh, our God.’"
Exodus 3:19,"No nĩnjũũĩ atĩ mũthamaki ũcio wa bũrũri wa Misiri ndakamwĩtĩkĩria mũthiĩ, tiga guoko gwakwa kwa hinya kũmũhatĩrĩirie gwĩka ũguo.","I know that the king of Egypt won’t give you permission to go, no, not by a mighty hand."
Exodus 3:20,"Nĩ ũndũ ũcio nĩngatambũrũkia guoko gwakwa hũũre andũ a Misiri na maũndũ mothe ma magegania marĩa ngeeka thĩinĩ wao. Thuutha ũcio, nĩakamwĩtĩkĩria mũthiĩ.","I will reach out my hand and strike Egypt with all my wonders which I will do among them, and after that he will let you go."
Exodus 3:21,"“Na nĩngatũma mwĩtĩkĩrĩke nĩ andũ a Misiri, nĩgeetha rĩrĩa mũkoimagara, mũtikanathiĩ moko matheri.","I will give this people favor in the sight of the Egyptians, and it will happen that when you go, you shall not go empty-handed."
Exodus 3:22,"Mũndũ-wa-nja o wothe Mũisiraeli nĩakahooya mũndũ wa itũũra rĩake, na ahooe mũndũ- wa-nja o wothe matũũranagia nake gwake nyũmba indo cia betha na thahabu o na nguo, iria mũkaahumba ciana cianyu cia aanake na cia airĩtu. Na nĩ ũndũ ũcio nĩmũgataha andũ acio a Misiri.”","But every woman shall ask of her neighbor, and of her who visits her house, jewels of silver, jewels of gold, and clothing. You shall put them on your sons, and on your daughters. You shall plunder the Egyptians.”"
Exodus 4:1,"Musa akĩmũcookeria atĩrĩ, “Ĩ mangĩrega kũnjĩtĩkia kana kũnjigua, na manjĩĩre atĩrĩ, ‘Jehova ndakuumĩrĩire?’ ”","Moses answered, “But, behold, they will not believe me, nor listen to my voice; for they will say, ‘Yahweh has not appeared to you.’ ”"
Exodus 4:2,"Nake Jehova akĩmũũria atĩrĩ, “Nĩ kĩĩ kĩu ũrĩ nakĩo guoko?” Nake agĩcookia atĩrĩ, “Nĩ rũthanju.”","Yahweh said to him, “What is that in your hand?” He said, “A rod.”"
Exodus 4:3,"Jehova akĩmwĩra atĩrĩ, “Rũikie thĩ.” Musa akĩrũikia thĩ, naruo rũgĩtuĩka nyoka, nake akĩmĩũrĩra.","He said, “Throw it on the ground.” He threw it on the ground, and it became a snake; and Moses ran away from it."
Exodus 4:4,"Nake Jehova akĩmwĩra atĩrĩ, “Tambũrũkia guoko ũmĩnyiite mũtingʼoe.” Nĩ ũndũ ũcio Musa agĩtambũrũkia guoko akĩmĩnyiita, nayo ĩkĩgarũrũka, ĩgĩtuĩka rũthanju guoko-inĩ gwake.","Yahweh said to Moses, “Stretch out your hand, and take it by the tail.” He stretched out his hand, and took hold of it, and it became a rod in his hand."
Exodus 4:5,"Nake Jehova akiuga atĩrĩ, “Ũndũ ũyũ nĩguo wa gũtũma metĩkie atĩ Jehova, o we Ngai wa maithe mao Ngai wa Iburahĩmu, na Ngai wa Isaaka, na Ngai wa Jakubu nĩakuumĩrĩire.”","“This is so that they may believe that Yahweh, the God of their fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has appeared to you.”"
Exodus 4:6,"Ningĩ Jehova akiuga atĩrĩ, “Ikia guoko nguo-inĩ yaku.” Nĩ ũndũ ũcio Musa agĩikia guoko nguo-inĩ yake, na rĩrĩa aakũrutire kwarĩ na mangũ, gũkeerũha ta ira.","Yahweh said furthermore to him, “Now put your hand inside your cloak.” He put his hand inside his cloak, and when he took it out, behold, his hand was leprous, as white as snow."
Exodus 4:7,"Jehova agĩcooka akĩmwĩra atĩrĩ, “Cookia guoko nguo-inĩ yaku.” Nĩ ũndũ ũcio Musa agĩcookia guoko nguo-inĩ, na rĩrĩa aakũrutire kwagarũrũkĩte gũkahaanana na mwĩrĩ ũcio ũngĩ wake.","He said, “Put your hand inside your cloak again.” He put his hand inside his cloak again, and when he took it out of his cloak, behold, it had turned again as his other flesh."
Exodus 4:8,"Ningĩ Jehova akiuga atĩrĩ, “Mangĩaga gũgwĩtĩkia na kũrũmbũiya kĩama kĩa mbere, no gũkorwo nĩmagetĩkia gĩa keerĩ.","“It will happen, if they will not believe you or listen to the voice of the first sign, that they will believe the voice of the latter sign."
Exodus 4:9,"No mangĩaga gwĩtĩkia ciama ici cierĩ kana mage gũkũigua-rĩ, ũgaataha maaĩ kuuma Rũũĩ rwa Nili na ũmaite thĩ. Maaĩ macio ũgaataha kuuma rũũĩ nĩmagatuĩka thakame maitwo thĩ.”","It will happen, if they will not believe even these two signs or listen to your voice, that you shall take of the water of the river, and pour it on the dry land. The water which you take out of the river will become blood on the dry land.”"
Exodus 4:10,"Musa akĩĩra Jehova atĩrĩ, “Wee, Mwathani, nĩũũĩ niĩ ndirĩ ndatuĩka mũndũ mwaria wega, kuuma o tene o na kuuma wambĩrĩria kwaria na niĩ ndungata yaku. Niĩ ndirĩ mĩtũkĩ ya mĩario, na ndĩ rũrĩmĩ rũritũ.”","Moses said to Yahweh, “O Lord,† I am not eloquent, neither before now, nor since you have spoken to your servant; for I am slow of speech, and of a slow tongue.”"
Exodus 4:11,"Jehova akĩmwĩra atĩrĩ, “Nũũ waheire mũndũ kanua? Nũũ ũtũmaga mũndũ aage kũigua kana aremwo nĩ kwaria? Nũũ ũtũmaga mũndũ one kana atuĩke mũtumumu? Githĩ ti niĩ, Jehova?","Yahweh said to him, “Who made man’s mouth? Or who makes one mute, or deaf, or seeing, or blind? Isn’t it I, Yahweh?"
Exodus 4:12,"Na rĩrĩ, thiĩ; nĩngakũhotithia kwaria na ngũrute ũrĩa ũkoiga.”","Now therefore go, and I will be with your mouth, and teach you what you shall speak.”"
Exodus 4:13,"No Musa akiuga atĩrĩ, “Mwathani, ndagũthaitha tũma mũndũ ũngĩ akaarie.”","Moses said, “Oh, Lord, please send someone else.”"
Exodus 4:14,"Namo marakara ma Jehova makĩrĩrĩmbũkĩra Musa, akĩmũũria atĩrĩ, “Ĩ mũrũ wa nyũkwa Harũni, ũrĩa Mũlawii-rĩ, ndangĩaria? Nĩnjũũĩ no aarie wega. Arĩ njĩra-inĩ agĩũka gũgũtũnga, na nĩegũkena akuona.","Yahweh’s anger burned against Moses, and he said, “What about Aaron, your brother, the Levite? I know that he can speak well. Also, behold, he is coming out to meet you. When he sees you, he will be glad in his heart."
Exodus 4:15,"Ũrĩmwaragĩria na ũkamwĩra ũrĩa ekuuga, na nĩngamũhotithia inyuĩ eerĩ kwaria, na ndĩmũrute ũrĩa mũgeeka.","You shall speak to him, and put the words in his mouth. I will be with your mouth, and with his mouth, and will teach you what you shall do."
